,Time,Power
444,20180121_15,104.4160000000265
445,20180121_17,115.5520000000251
446,20180121_18,110.9120000000112
447,20180121_19,114.6879999999655
448,20180121_20,114.0480000000098
449,20180121_21,109.4720000000088
450,20180121_22,106.9439999999595
451,20180121_23,106.1120000000228
452,20180122_0,111.9679999999935
453,20180122_1,110.9440000000177
454,20180122_2,106.3680000000168
455,20180122_3,103.8079999999609
456,20180122_4,99.77600000001257
457,20180122_6,96.12800000002608
458,20180122_8,99.55199999996694
459,20180122_9,92.70400000002701
460,20180122_10,89.53599999996368
461,20180122_11,100.3520000000135
462,20180122_12,100.0320000000065
463,20180122_13,104.0
464,20180122_14,106.1440000000293
465,20180122_15,121.8559999999707
466,20180122_16,121.6639999999898
467,20180122_17,125.9519999999902
468,20180122_18,124.704000000027
469,20180122_19,130.9120000000112
470,20180122_20,128.4799999999814
471,20180122_21,131.7760000000126
472,20180122_22,142.2719999999972
473,20180122_23,128.2239999999874
474,20180123_0,121.0560000000405
475,20180123_1,113.7279999999446
476,20180123_2,115.4239999999991
477,20180123_3,110.1120000000228
478,20180123_5,97.7280000000028
479,20180123_6,93.88799999997718
480,20180123_7,119.8720000000321
481,20180123_8,203.1039999999921
482,20180123_9,216.4479999999749
483,20180123_11,258.7519999999786
484,20180123_13,238.2399999999907
485,20180123_14,256.8319999999949
486,20180123_15,247.1359999999986
487,20180123_16,242.9120000000112
488,20180123_17,198.6560000000172
489,20180123_18,140.5439999999944
490,20180123_19,226.0480000000098
491,20180123_20,236.2880000000005
492,20180123_21,220.1279999999679
493,20180123_23,218.1119999999646
494,20180124_0,115.5840000000317
495,20180124_1,118.7839999999851
496,20180124_3,116.8640000000014
497,20180124_4,117.1199999999953
498,20180124_5,113.8879999999772
499,20180124_6,113.4079999999958
500,20180124_7,111.359999999986
501,20180124_8,211.0400000000373
502,20180124_9,227.2639999999665
503,20180124_10,249.7600000000093
504,20180124_11,257.8560000000289
505,20180124_12,260.0959999999614
506,20180124_13,262.7840000000433
507,20180124_14,263.61599999998
508,20180124_16,263.8720000000321
509,20180124_17,225.5040000000154
510,20180124_18,175.9039999999804
511,20180124_19,251.2640000000247
512,20180124_20,246.4639999999781
513,20180124_21,250.4319999999716
514,20180124_22,243.8400000000256
515,20180124_23,223.5520000000251
516,20180125_0,126.8479999999981
517,20180125_1,128.4479999999749
518,20180125_2,123.8080000000191
519,20180125_3,130.3040000000037
520,20180125_4,214.4639999999781
521,20180125_5,214.5599999999977
522,20180125_6,216.9280000000144
523,20180125_7,218.3040000000037
524,20180125_8,211.7440000000061
525,20180125_9,218.4959999999846
526,20180125_11,278.0160000000033
527,20180125_12,279.2000000000116
528,20180125_13,293.6320000000414
529,20180125_14,290.1119999999646
530,20180125_15,296.8640000000014
531,20180125_16,288.1919999999809
532,20180125_17,236.0960000000196
533,20180125_19,290.2079999999842
534,20180125_20,289.3120000000345
535,20180125_21,280.9279999999562
536,20180125_22,269.9200000000419
537,20180125_23,250.975999999966
538,20180126_0,186.3360000000102
539,20180126_2,228.0320000000065
540,20180126_3,226.7839999999851
541,20180126_5,207.5839999999735
542,20180126_6,208.6720000000205
543,20180126_7,204.0320000000065
544,20180126_8,211.4560000000056
545,20180126_9,224.4159999999683
546,20180126_10,255.3280000000377
547,20180126_11,253.1199999999953
548,20180126_12,254.5599999999977
549,20180126_13,266.975999999966
550,20180126_14,255.4880000000121
551,20180126_15,248.2239999999874
552,20180126_16,252.3520000000135
553,20180126_17,250.6880000000237
554,20180126_18,276.1599999999744
555,20180126_19,268.0
556,20180126_20,260.8319999999949
557,20180126_21,245.6319999999832
558,20180126_22,246.9120000000112
559,20180127_0,190.6879999999655
560,20180127_2,205.3120000000345
561,20180127_3,197.2479999999632
562,20180127_4,195.9040000000386
563,20180127_5,194.3679999999586
564,20180127_6,185.2480000000214
565,20180127_7,185.4079999999958
566,20180127_8,187.8399999999674
567,20180127_9,200.5120000000461
568,20180127_10,244.7039999999688
569,20180127_11,265.9839999999967
570,20180127_12,260.3520000000135
571,20180127_14,256.064000000013
572,20180127_15,261.2800000000279
573,20180127_16,269.7600000000093
574,20180127_17,261.2479999999632
575,20180127_18,259.7119999999995
576,20180127_19,243.5520000000251
577,20180127_20,249.1520000000019
578,20180127_21,237.3119999999763
579,20180127_22,244.5439999999944
580,20180128_0,128.5760000000009
581,20180128_1,175.7760000000126
582,20180128_2,208.8640000000014
583,20180128_3,199.8080000000191
584,20180128_4,195.5519999999669
585,20180128_5,196.4800000000396
586,20180128_6,190.6239999999525
587,20180128_7,190.0480000000098
588,20180128_8,192.2240000000456
589,20180128_9,191.2639999999665
590,20180128_10,185.9199999999837
591,20180128_11,191.5840000000317
592,20180128_12,102.4959999999846
593,20180128_13,91.90399999998044
594,20180128_14,96.44800000003306
595,20180128_15,106.5599999999977
596,20180128_17,126.6880000000237
597,20180128_18,130.5279999999912
598,20180128_19,130.6240000000107
599,20180128_21,128.9920000000275
600,20180128_22,140.7359999999753
601,20180128_23,141.1520000000019
602,20180129_0,134.1120000000228
603,20180129_1,122.2079999999842
604,20180129_2,113.9519999999902
605,20180129_5,104.6719999999623
606,20180129_6,109.7920000000158
607,20180129_7,100.38400000002
608,20180129_8,92.09599999996135
609,20180129_9,91.55200000002515
610,20180129_11,89.27999999996973
611,20180129_12,89.95199999999022
612,20180129_13,98.40000000002328
613,20180129_14,116.6720000000205
614,20180129_15,134.8159999999916
615,20180129_16,143.4880000000121
616,20180129_17,143.295999999973
617,20180129_18,155.3279999999795
618,20180129_19,162.7520000000368
619,20180129_20,172.0959999999614
620,20180129_21,178.8160000000498
621,20180129_22,172.6399999999558
622,20180129_23,163.8720000000321
623,20180130_0,153.3759999999893
624,20180130_1,137.6639999999898
625,20180130_2,140.0
626,20180130_3,131.9039999999804
627,20180130_5,117.1520000000019
628,20180130_6,119.295999999973
629,20180130_7,159.5200000000186
630,20180130_8,219.0719999999856
631,20180130_9,227.2960000000312
632,20180130_10,263.8399999999674
633,20180130_11,273.3759999999893
634,20180130_12,261.344000000041
635,20180130_13,299.7440000000061
636,20180130_15,287.1679999999469
637,20180130_16,294.7520000000368
638,20180130_17,232.320000000007
639,20180130_18,182.3999999999651
640,20180130_19,264.4480000000331
641,20180130_20,263.7440000000061
642,20180130_21,249.3759999999893
643,20180130_23,240.0959999999614
644,20180131_0,137.024000000034
645,20180131_1,128.2880000000005
646,20180131_2,117.0239999999758
647,20180131_3,117.7920000000158
648,20180131_4,196.9920000000275
649,20180131_5,195.9039999999804
650,20180131_6,200.4159999999683
651,20180131_7,195.6160000000382
652,20180131_8,199.3919999999925
653,20180131_9,203.039999999979
654,20180131_10,226.1760000000359
655,20180131_11,244.1919999999809
656,20180131_12,230.5920000000042
657,20180131_14,241.4400000000023
658,20180131_15,251.5200000000186
659,20180131_17,190.8800000000047
660,20180131_18,163.7119999999995
661,20180131_19,258.6239999999525
662,20180131_20,243.1680000000051
663,20180131_21,232.8319999999949
664,20180131_23,213.7280000000028
665,20180201_0,124.5760000000009
666,20180201_1,108.2559999999939
667,20180201_2,105.7280000000028
668,20180201_3,90.40000000002328
669,20180201_5,86.975999999966
670,20180201_6,90.40000000002328
671,20180201_7,92.09600000001956
672,20180201_8,182.2399999999907
673,20180201_9,187.4880000000121
674,20180201_10,221.5999999999767
675,20180201_11,226.8479999999981
676,20180201_12,216.2880000000005
677,20180201_13,238.0160000000033
678,20180201_15,249.8879999999772
679,20180201_16,239.4560000000056
680,20180201_17,164.5439999999944
681,20180201_18,165.5999999999767
682,20180201_21,231.7440000000061
683,20180201_23,203.7760000000126
684,20180202_0,106.591999999946
685,20180202_1,115.2000000000116
686,20180202_2,106.4000000000233
687,20180202_3,105.2480000000214
688,20180202_4,102.9439999999595
689,20180202_5,101.7920000000158
690,20180202_6,102.0480000000098
691,20180202_7,94.65599999995902
692,20180202_8,175.5200000000186
693,20180202_9,181.3439999999828
694,20180202_10,200.6720000000205
695,20180202_11,201.7600000000093
696,20180202_12,204.8319999999949
697,20180202_13,218.6560000000172
698,20180202_14,216.4479999999749
699,20180202_15,216.5439999999944
700,20180202_16,209.3120000000345
701,20180202_17,182.8159999999916
702,20180202_18,148.5119999999879
703,20180202_19,204.320000000007
704,20180202_20,227.2639999999665
705,20180202_22,196.1920000000391
706,20180202_23,176.7359999999753
707,20180203_0,118.6560000000172
708,20180203_1,113.3119999999763
709,20180203_2,111.3919999999925
710,20180203_3,112.9280000000144
711,20180203_4,105.6959999999963
712,20180203_5,104.4160000000265
713,20180203_6,107.8399999999674
714,20180203_7,103.2000000000116
715,20180203_8,164.2880000000005
716,20180203_9,175.679999999993
717,20180203_10,183.4880000000121
718,20180203_11,196.064000000013
719,20180203_12,197.3439999999828
720,20180203_13,206.6560000000172
721,20180203_14,216.7679999999818
722,20180203_15,218.4639999999781
723,20180203_16,203.8080000000191
724,20180203_17,168.4799999999814
725,20180203_18,129.2480000000214
726,20180203_20,212.7999999999884
727,20180203_21,203.3919999999925
728,20180203_22,202.5279999999912
729,20180203_23,196.5440000000526
730,20180204_0,119.8399999999674
731,20180204_1,116.2239999999874
732,20180204_2,103.9679999999935
